column,dtype,n_nonnull,n_unique,example
Incident Date__is_missing,int64,5576,2,0
Incident Time (24:00)__is_missing,int64,5576,2,0
Latitude__is_missing,int64,5576,2,0
Longitude__is_missing,int64,5576,2,0
City__is_missing,int64,5576,2,0
State__is_missing,int64,5576,2,0
Zip Code__is_missing,int64,5576,2,0
Roadway-Degraded Surface__is_missing,int64,5576,2,1
Roadway-Missing/Degraded Marking__is_missing,int64,5576,2,1
Roadway-No Unusual Conditions__is_missing,int64,5576,2,1
Roadway-Other-See Narrative__is_missing,int64,5576,2,1
Roadway-Traffic Incident__is_missing,int64,5576,2,1
Roadway-Unknown__is_missing,int64,5576,2,1
Roadway-Wet Surface Condition__is_missing,int64,5576,2,1
Roadway-Work Zone__is_missing,int64,5576,2,1
Weather - Partly Cloudy__is_missing,int64,5576,2,1
Weather - Dust Storm__is_missing,int64,5576,2,1
Weather - Severe Hurricane__is_missing,int64,5576,2,1
Weather - Structure-Indoor__is_missing,int64,5576,2,1
CP Pre-Crash Movement__is_missing,int64,5576,2,1
CP Contact Area - Rear Left__is_missing,int64,5576,2,0
CP Contact Area - Left__is_missing,int64,5576,2,0
CP Contact Area - Front Left__is_missing,int64,5576,2,0
CP Contact Area - Rear__is_missing,int64,5576,2,0
CP Contact Area - Top__is_missing,int64,5576,2,0
CP Contact Area - Front__is_missing,int64,5576,2,0
CP Contact Area - Rear Right__is_missing,int64,5576,2,0
CP Contact Area - Right__is_missing,int64,5576,2,0
CP Contact Area - Front Right__is_missing,int64,5576,2,0
CP Contact Area - Bottom__is_missing,int64,5576,2,0
CP Contact Area - Unknown__is_missing,int64,5576,2,0
SV Precrash Speed (MPH)__is_missing,int64,5576,2,0
Investigating Agency__is_missing,int64,5576,2,1
Within ODD?__is_missing,int64,5576,2,0
Mileage__is_missing,int64,5576,2,0
Mileage - Unknown__is_missing,int64,5576,2,0
ADAS/ADS System Version__is_missing,int64,5576,2,0
ADAS/ADS System Version - Unk__is_missing,int64,5576,2,0
ADAS/ADS System Version CBI__is_missing,int64,5576,2,0
ADAS/ADS Hardware Version__is_missing,int64,5576,2,1
ADAS/ADS Hardware Version - Unk__is_missing,int64,5576,2,0
ADAS/ADS Hardware Version CBI__is_missing,int64,5576,2,0
ADAS/ADS Software Version__is_missing,int64,5576,2,1
ADAS/ADS Software Version - Unk__is_missing,int64,5576,2,0
ADAS/ADS Software Version CBI__is_missing,int64,5576,2,0
Other Reporting Entities?__is_missing,int64,5576,2,1
Other Reporting Entities? - Unk__is_missing,int64,5576,2,0
Other Reporting Entities? - NA__is_missing,int64,5576,2,0
Federal Regulatory Exemption?__is_missing,int64,5576,2,1
Other Federal Reg. Exemption__is_missing,int64,5576,2,1
Federal Reg. Exemption - Unk__is_missing,int64,5576,2,0
Federal Reg. Exemption - No__is_missing,int64,5576,2,0
State or Local Permit?__is_missing,int64,5576,2,1
State or Local Permit__is_missing,int64,5576,2,1
ADS Equipped?__is_missing,int64,5576,2,0
Source - Other__is_missing,int64,5576,2,0
Source - Other Text__is_missing,int64,5576,2,1
Notice Received Date__is_missing,int64,5576,2,0
Roadway Surface__is_missing,int64,5576,2,0
Roadway Description__is_missing,int64,5576,2,0
Posted Speed Limit (MPH)__is_missing,int64,5576,2,0
Posted Speed Limit - Unknown__is_missing,int64,5576,2,0
Lighting__is_missing,int64,5576,2,0
Weather - Other__is_missing,int64,5576,2,0
Weather - Other Text__is_missing,int64,5576,2,1
Property Damage?__is_missing,int64,5576,2,0
CP Any Air Bags Deployed?__is_missing,int64,5576,2,1
CP Was Vehicle Towed?__is_missing,int64,5576,2,1
Law Enforcement Investigating?__is_missing,int64,5576,2,0
Rep Ent Or Mfr Investigating?__is_missing,int64,5576,2,0
Inv. Officer Name - Unknown__is_missing,int64,5576,2,0
Inv. Officer Phone - Unknown__is_missing,int64,5576,2,0
Inv. Officer Email - Unknown__is_missing,int64,5576,2,0
