n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
100,5,10,0.22,0.26756756756756755,1.0,0.42217484008528783,99,271,0,10
100,5,10,0.24,0.275,1.0,0.4313725490196079,99,261,0,20
100,5,10,0.26,0.2804532577903683,1.0,0.43805309734513276,99,254,0,27
100,5,10,0.28,0.30275229357798167,1.0,0.46478873239436624,99,228,0,53
100,5,10,0.3,0.31528662420382164,1.0,0.47941888619854717,99,215,0,66
100,5,10,0.32,0.3256578947368421,1.0,0.49131513647642683,99,205,0,76
100,5,10,0.34,0.33,1.0,0.49624060150375937,99,201,0,80
100,5,10,0.36,0.34615384615384615,1.0,0.5142857142857142,99,187,0,94
100,5,10,0.38,0.37218045112781956,1.0,0.5424657534246575,99,167,0,114
100,5,10,0.4,0.396,1.0,0.5673352435530087,99,151,0,130
100,5,10,0.42,0.42857142857142855,1.0,0.6,99,132,0,149
100,5,10,0.44,0.4604651162790698,1.0,0.6305732484076433,99,116,0,165
100,5,10,0.46,0.49230769230769234,0.9696969696969697,0.653061224489796,96,99,3,182
100,5,10,0.48,0.5470588235294118,0.9393939393939394,0.6914498141263942,93,77,6,204
100,5,10,0.5,0.5741935483870968,0.898989898989899,0.7007874015748031,89,66,10,215
100,5,10,0.52,0.5928571428571429,0.8383838383838383,0.6945606694560669,83,57,16,224
100,5,10,0.54,0.6260869565217392,0.7272727272727273,0.6728971962616822,72,43,27,238
100,5,10,0.56,0.686046511627907,0.5959595959595959,0.6378378378378378,59,27,40,254
100,5,10,0.58,0.765625,0.494949494949495,0.6012269938650306,49,15,50,266
100,5,10,0.6,0.7924528301886793,0.42424242424242425,0.5526315789473685,42,11,57,270
100,5,10,0.62,0.7948717948717948,0.31313131313131315,0.44927536231884063,31,8,68,273
100,5,10,0.64,0.8333333333333334,0.20202020202020202,0.3252032520325203,20,4,79,277
100,5,10,0.66,0.8461538461538461,0.1111111111111111,0.19642857142857145,11,2,88,279
100,5,10,0.68,1.0,0.020202020202020204,0.03960396039603961,2,0,97,281
100,5,10,0.7,0.0,0.0,0.0,0,0,99,281
100,5,10,0.72,0.0,0.0,0.0,0,0,99,281
100,5,10,0.74,0.0,0.0,0.0,0,0,99,281
100,5,10,0.76,0.0,0.0,0.0,0,0,99,281
100,5,10,0.78,0.0,0.0,0.0,0,0,99,281
100,5,10,0.8,0.0,0.0,0.0,0,0,99,281
100,10,1,0.2,0.3402061855670103,1.0,0.5076923076923077,99,192,0,89
100,10,1,0.22,0.358695652173913,1.0,0.5279999999999999,99,177,0,104
100,10,1,0.24,0.37218045112781956,1.0,0.5424657534246575,99,167,0,114
100,10,1,0.26,0.4008097165991903,1.0,0.5722543352601156,99,148,0,133
100,10,1,0.28,0.4279475982532751,0.98989898989899,0.5975609756097562,98,131,1,150
100,10,1,0.3,0.43946188340807174,0.98989898989899,0.608695652173913,98,125,1,156
100,10,1,0.32,0.47115384615384615,0.98989898989899,0.6384364820846906,98,110,1,171
100,10,1,0.34,0.5025641025641026,0.98989898989899,0.6666666666666666,98,97,1,184
100,10,1,0.36,0.5159574468085106,0.9797979797979798,0.6759581881533101,97,91,2,190
100,10,1,0.38,0.5517241379310345,0.9696969696969697,0.7032967032967034,96,78,3,203
100,10,1,0.4,0.5757575757575758,0.9595959595959596,0.7196969696969696,95,70,4,211
100,10,1,0.42,0.5949367088607594,0.9494949494949495,0.7315175097276264,94,64,5,217
100,10,1,0.44,0.6301369863013698,0.9292929292929293,0.7510204081632652,92,54,7,227
100,10,1,0.46,0.6590909090909091,0.8787878787878788,0.7532467532467532,87,45,12,236
100,10,1,0.48,0.680327868852459,0.8383838383838383,0.751131221719457,83,39,16,242
100,10,1,0.5,0.7168141592920354,0.8181818181818182,0.7641509433962264,81,32,18,249
100,10,1,0.52,0.7373737373737373,0.7373737373737373,0.7373737373737375,73,26,26,255
100,10,1,0.54,0.7422680412371134,0.7272727272727273,0.7346938775510204,72,25,27,256
100,10,1,0.56,0.735632183908046,0.6464646464646465,0.6881720430107527,64,23,35,258
100,10,1,0.58,0.7432432432432432,0.5555555555555556,0.6358381502890174,55,19,44,262
100,10,1,0.6,0.7741935483870968,0.48484848484848486,0.5962732919254659,48,14,51,267
100,10,1,0.62,0.7924528301886793,0.42424242424242425,0.5526315789473685,42,11,57,270
100,10,1,0.64,0.8,0.36363636363636365,0.5000000000000001,36,9,63,272
100,10,1,0.66,0.8888888888888888,0.32323232323232326,0.4740740740740741,32,4,67,277
100,10,1,0.68,0.8666666666666667,0.26262626262626265,0.40310077519379856,26,4,73,277
100,10,1,0.7,0.84,0.21212121212121213,0.33870967741935487,21,4,78,277
100,10,1,0.72,0.8421052631578947,0.16161616161616163,0.27118644067796616,16,3,83,278
100,10,1,0.74,0.875,0.1414141414141414,0.2434782608695652,14,2,85,279
100,10,1,0.76,1.0,0.09090909090909091,0.16666666666666669,9,0,90,281
100,10,1,0.78,1.0,0.030303030303030304,0.05882352941176471,3,0,96,281
100,10,1,0.8,1.0,0.030303030303030304,0.05882352941176471,3,0,96,281
100,10,5,0.2,0.31329113924050633,1.0,0.47710843373493983,99,217,0,64
100,10,5,0.22,0.32142857142857145,1.0,0.4864864864864865,99,209,0,72
100,10,5,0.24,0.33559322033898303,1.0,0.5025380710659898,99,196,0,85
100,10,5,0.26,0.35231316725978645,1.0,0.5210526315789473,99,182,0,99
100,10,5,0.28,0.3680297397769517,1.0,0.5380434782608696,99,170,0,111
100,10,5,0.3,0.38823529411764707,1.0,0.5593220338983051,99,156,0,125
100,10,5,0.32,0.4074074074074074,1.0,0.5789473684210525,99,144,0,137
100,10,5,0.34,0.43231441048034935,1.0,0.6036585365853658,99,130,0,151
100,10,5,0.36,0.46919431279620855,1.0,0.6387096774193548,99,112,0,169
100,10,5,0.38,0.5,0.98989898989899,0.6644067796610169,98,98,1,183
100,10,5,0.4,0.5133689839572193,0.9696969696969697,0.6713286713286715,96,91,3,190
100,10,5,0.42,0.5454545454545454,0.9696969696969697,0.6981818181818182,96,80,3,201
100,10,5,0.44,0.5621301775147929,0.9595959595959596,0.708955223880597,95,74,4,207
100,10,5,0.46,0.5974025974025974,0.9292929292929293,0.7272727272727272,92,62,7,219
100,10,5,0.48,0.6293706293706294,0.9090909090909091,0.7438016528925621,90,53,9,228
100,10,5,0.5,0.6589147286821705,0.8585858585858586,0.7456140350877193,85,44,14,237
100,10,5,0.52,0.6923076923076923,0.8181818181818182,0.7500000000000001,81,36,18,245
100,10,5,0.54,0.7075471698113207,0.7575757575757576,0.7317073170731707,75,31,24,250
100,10,5,0.56,0.7473684210526316,0.7171717171717171,0.7319587628865979,71,24,28,257
100,10,5,0.58,0.7349397590361446,0.6161616161616161,0.6703296703296703,61,22,38,259
100,10,5,0.6,0.76,0.5757575757575758,0.6551724137931034,57,18,42,263
100,10,5,0.62,0.7419354838709677,0.46464646464646464,0.5714285714285714,46,16,53,265
100,10,5,0.64,0.7708333333333334,0.37373737373737376,0.5034013605442177,37,11,62,270
100,10,5,0.66,0.8157894736842105,0.31313131313131315,0.4525547445255474,31,7,68,274
100,10,5,0.68,0.9032258064516129,0.2828282828282828,0.43076923076923074,28,3,71,278
100,10,5,0.7,0.9090909090909091,0.20202020202020202,0.33057851239669417,20,2,79,279
100,10,5,0.72,0.8333333333333334,0.10101010101010101,0.1801801801801802,10,2,89,279
100,10,5,0.74,0.8888888888888888,0.08080808080808081,0.14814814814814817,8,1,91,280
100,10,5,0.76,1.0,0.030303030303030304,0.05882352941176471,3,0,96,281
100,10,5,0.78,1.0,0.030303030303030304,0.05882352941176471,3,0,96,281
100,10,5,0.8,1.0,0.010101010101010102,0.02,1,0,98,281
100,10,10,0.2,0.29289940828402367,1.0,0.45308924485125857,99,239,0,42
100,10,10,0.22,0.3046153846153846,1.0,0.46698113207547176,99,226,0,55
100,10,10,0.24,0.31528662420382164,1.0,0.47941888619854717,99,215,0,66
100,10,10,0.26,0.3235294117647059,1.0,0.48888888888888893,99,207,0,74
100,10,10,0.28,0.33,1.0,0.49624060150375937,99,201,0,80
100,10,10,0.3,0.34615384615384615,1.0,0.5142857142857142,99,187,0,94
100,10,10,0.32,0.3639705882352941,1.0,0.5336927223719676,99,173,0,108
100,10,10,0.34,0.38076923076923075,1.0,0.5515320334261838,99,161,0,120
100,10,10,0.36,0.4074074074074074,1.0,0.5789473684210525,99,144,0,137
100,10,10,0.38,0.43231441048034935,1.0,0.6036585365853658,99,130,0,151
100,10,10,0.4,0.4583333333333333,1.0,0.6285714285714286,99,117,0,164
100,10,10,0.42,0.4876847290640394,1.0,0.6556291390728477,99,104,0,177
100,10,10,0.44,0.5133689839572193,0.9696969696969697,0.6713286713286715,96,91,3,190
100,10,10,0.46,0.5465116279069767,0.9494949494949495,0.6937269372693726,94,78,5,203
100,10,10,0.48,0.5714285714285714,0.8888888888888888,0.6956521739130435,88,66,11,215
100,10,10,0.5,0.60431654676259,0.8484848484848485,0.7058823529411765,84,55,15,226
100,10,10,0.52,0.6557377049180327,0.8080808080808081,0.7239819004524887,80,42,19,239
100,10,10,0.54,0.6902654867256637,0.7878787878787878,0.7358490566037735,78,35,21,246
