incident_key,cluster,pca_x,pca_y,severe,automation_level
04571dd36a8589e,1,2.7308334436647566,1.6089447397177503,0,ADS
045cf7934115d4b,0,-1.7754982287695995,1.3056107550230491,1,L2
0465e36fa028022,0,-3.301064179581646,0.2978291460982127,1,L2
046e04aaeb646d1,1,3.5634944697525097,2.1178353777039756,0,ADS
048558b97fa0d56,0,-3.1939440907166037,0.7397654190997723,1,L2
04887ef5bde68f4,1,-1.041945516015198,-3.962291744325135,1,L2
04a87b91cfbf9c0,1,3.995649648563992,1.6081879657855582,0,ADS
04b6102c6754afe,0,-3.6807429697515257,0.6091792842667754,1,L2
04bce80be566c1b,1,3.7678452053375224,1.7748741599990665,1,ADS
04cb4468625b8ed,0,-1.2560237689816682,-3.9299628767991193,1,L2
04cb92c45f1ef09,0,-3.5681601972681776,0.31160776719104194,1,L2
04eeb18cf84cda0,1,3.027824756914279,1.7587438151741561,1,ADS
04f0625614ddc1f,1,2.361909039334994,1.3324213498182456,1,ADS
04f2cedde6aabb4,1,3.5771965720916437,1.5777347223546032,0,ADS
04f784a11d9eae4,1,0.20182372933101428,1.7588555573757627,1,L2
0501cb93131e88d,0,-2.368026393677415,1.3420215454221538,1,L2
0502d17c497d6af,0,-2.474539459951001,-5.173594505516426,1,L2
050c4d10fce8f40,0,-0.8016570500122031,1.3954509486317952,1,L2
052b7399c28b86d,0,-0.12615124832578142,1.7821967899517746,1,L2
05355a1149f93d0,1,1.054710535113445,-3.759636431771934,1,L2
05400f054639ab4,1,3.7721713492448448,1.7332487964277603,0,ADS
055259ab5c42fb2,0,-3.5465037634017023,0.31049058169702887,1,L2
055a8164a213d2a,0,-2.411132725415968,0.8663729396288207,1,L2
055f146cb1580f7,0,-2.0479220794276807,1.2908336586051032,1,L2
056a942c8c8d3c9,1,3.8349693234734072,1.823867830817594,0,ADS
0577e2fe200d66e,0,-2.8860117034140376,-5.152367981130175,1,L2
058437b2df3105d,0,-0.6398987199561148,1.905467400054911,1,L2
0585384b4e974df,1,3.986997360749348,1.6914386929281702,0,ADS
059363eb92eeb8d,1,3.1850802163890926,1.885287280974105,0,ADS
05946fa3c681ae3,0,-2.621732942579635,0.9135408668003253,1,L2
059f3827a613e8a,0,-2.751671545778489,0.9202439797644043,1,L2
05a1bc534d1d42b,0,-2.621732942579635,0.9135408668003253,1,L2
05aad8969f5f49e,0,-2.7127602324822324,-5.161305465082281,1,L2
05abcaa30678a65,0,-2.7416354776375336,-5.159815884423597,1,L2
05b791068150f1b,0,-2.662551669489301,0.5980535337165553,1,L2
05b79323706b321,1,-0.29626072829574274,-4.022894891509009,1,L2
05eea377fd3577c,1,3.9729135322198217,1.4808480624272558,0,ADS
05f3e4e4bce07f3,0,-3.47431565051345,0.3067666300503182,1,L2
05f90519b036c38,0,-1.0847857923940207,1.5500983659089935,1,L2
05fabfc423de978,1,3.3013250153100566,1.7102845683962342,1,ADS
0620973f89f74fb,0,-2.3248825558580952,-3.871217116629006,1,L2
0624ec6715ae5a7,0,-3.439173870352201,-4.049020646935506,1,L2
063193d08c16979,1,3.783682492488466,1.8891031353600656,0,ADS
0631e46b926ae9e,0,-1.055971505057755,1.5726575651485384,1,L2
0639028a80f2286,1,0.017964296957846376,-3.669837896671139,1,L2
063cae674ae2b58,0,-0.38828608003687076,1.8917995357161597,1,L2
0645322596f5446,0,-3.322720613448122,0.298946331592226,1,L2
0646172295c7aa5,0,-3.26535854334965,1.5233943460374493,1,L2
0647db76b221377,1,3.8398845872624845,1.516908205266989,0,ADS
064a67294d8165f,0,-2.368675472165898,1.3418630840954078,1,L2
067e0992aff4225,1,0.044506748577883115,1.7473044151691144,1,L2
068ce526db856cc,1,3.969692785120059,1.8579401472133943,0,ADS
06927e2a41899c5,0,-2.6694473647492813,-5.163539836070307,1,L2
06aa4b33527563c,0,-3.272188934426345,0.2963395654395284,1,L2
06b540225fae953,1,3.3932270185877713,1.7304521206284191,0,ADS
06cc2ae535c676f,1,0.06867634144787299,1.7917659865494762,1,L2
06d315f5d5b5e61,0,4.205377628649746,-3.6696821431071043,1,ADS
06f340af9120042,0,-0.6640683128261045,1.8610058286745494,1,L2
06f87c34e2fe4c0,1,2.5883197745622626,1.991891179760743,0,ADS
06ff682dcc0aa80,1,-0.20778782606285914,-3.9578652317615135,1,L2
071db3d5b3a5955,0,-0.3066824883654477,1.81555544896678,1,L2
07213bfb9b1eeb2,0,-3.520880967604033,1.042501100029327,1,L2
0731be2bcb8ffde,1,3.579343373786875,1.5125657117720062,1,ADS
073aed06cadfa99,0,-2.6477909308828056,-5.16465702156432,1,L2
073f741bd17fb92,1,3.8220073679571653,1.8609226933364367,0,ADS
0744f69d86405c7,1,3.4271490178665722,-4.313309569055869,0,ADS
074d5604bd1f801,0,-3.539284952112877,0.31011818653235784,1,L2
075ba3c0b6ebb2a,1,4.424992699288696,-3.5369912882783816,0,ADS
0785569a15960a6,1,3.947480516466811,1.388998173382012,0,ADS
0785e3e49e6df60,1,3.8182916437470436,1.5561002267896176,0,ADS
078bbba609474d8,1,2.6366470652773795,1.4742365291122264,1,ADS
078e8b727cd7d4e,0,-3.5248473295352265,0.30937339620301557,1,L2
07949a4fab0d337,1,2.9467530536366366,1.998153787508419,0,ADS
079534a8115e10a,0,0.9115923608815542,-3.71828938183526,1,L2
07980af30e8aa0f,0,-2.122252052989615,1.5896149282626297,1,L2
07a39da372f5123,1,3.8582018311033934,1.8897333908930944,0,ADS
07a42d54585b494,0,-0.2649869672393889,1.6216264922979216,1,L2
07b8c8e2fd32e4b,0,-1.4941028126559006,-4.100461924863323,1,L2
07bb2ce18fb1861,1,2.7831496516422294,2.0342225822661546,0,ADS
07dd31c59257efb,1,4.582467309975791,-4.2435110839032335,0,ADS
07df46993d3d218,1,3.3760262872018223,1.7521393736238984,1,ADS
07df51576babced,1,-0.261367871134402,-3.2602778546536437,1,L2
07e1909228a3709,0,-2.9437621937246408,-5.149388819812807,1,L2
07e6b36cfd6f34f,0,-2.188521226219596,1.5099005109803962,1,L2
07e810793e23a5b,1,3.892139451492006,1.670478614484573,0,ADS
08146d9a696b8b3,0,-2.4990131506696063,0.9072101490009172,1,L2
083988c1ea33958,1,2.7188111148013867,1.4799930209427143,1,ADS
0840f6bd96c46ca,1,1.6385512201798271,1.500764599506807,0,ADS
0854cad253fe51e,1,2.028200349625466,1.5576197961037204,1,ADS
087c54ea8c52d39,0,-2.194440165877867,1.5933388799093404,1,L2
087f8a64676c1d8,0,-1.6649903242522008,1.531351533316829,1,L2
0899b0a38f084ba,1,3.122608807560711,1.9319054758979246,1,ADS
08ac94e653876bc,0,-0.8286945264742445,1.9385644206593233,1,L2
08b6e740982f26f,1,-0.6902521333965859,1.3957323111144941,1,L2
08ca8ea48ae36cd,0,-2.6477909308828056,-5.16465702156432,1,L2
08d42370d97a6e2,0,-1.3279241280718146,1.5427696024655755,1,L2
08f2facfc20c80b,1,4.418927533009674,-4.101248874014601,0,ADS
0905c27fe7c70ca,0,-1.6377646948514346,1.4547533118191691,1,L2
09074be853573e8,0,-3.593069080492285,1.0462250516760374,1,L2
090cb98f8f58358,1,3.778402828214156,-3.981920939038971,1,ADS
090cd2669682cdc,0,0.13455260524158957,1.356421807783676,1,L2
090f9ef63da3e2b,1,3.4663805695923107,-4.023394438712045,1,ADS
091301476ab8ada,1,3.926334019771979,-3.7299925752235445,0,ADS
0916517d5485c94,0,-1.8438475522845383,-4.736874507750847,1,L2
09192db2d561404,0,0.42590959724575406,1.6918390813121973,1,L2
091ca46afdcdc6b,0,-2.0118280229835546,1.2889716827817481,1,L2
092cb5247f6b60a,0,-2.9221057598581646,-5.15050600530682,1,L2
